region,date,year,deaths,women,men,children,cause_of_death,location_description,location_coordinates,url
North Africa,"October 23, 2017",2017,10,NA,NA,NA,"Starvation, Excessive Physical Abuse","Bani Walid, Libya","14.053676000000, 31.797583100000",NA
North Africa,"October 23, 2017",2017,8,NA,NA,NA,"Starvation, Excessive Physical Abuse","Bani Walid, Libya","14.053676000000, 31.797583100000",NA
Sub-Saharan Africa,"October 23, 2017",2017,2,1,1,NA,Vehicle Accident,"Outside Agadez, Niger","8.085411953000, 17.022760830000",NA
North Africa,"October 23, 2017",2017,4,NA,NA,NA,"Starvation, Dehydration, Harsh weather/lack of adequate shelter","Unspecified location in the Sahara desert, Egypt","25.773925780000, 29.621519570000",NA
North Africa,"October 23, 2017",2017,2,NA,2,NA,Starvation,"Unspecified location in the Sahara desert, Libya","14.106445310000, 29.051517840000",NA
North Africa,"October 23, 2017",2017,7,NA,NA,NA,"Starvation, Dehydration","Unspecified location in the Sahara desert, Libya","15.534667970000, 24.297353380000",NA
North Africa,"October 23, 2017",2017,3,NA,NA,NA,Vehicle Accident,"Unspecified location in the Sahara desert, Libya","22.609863280000, 29.200423170000",NA
Mediterranean,"October 22, 2017",2017,8,NA,NA,NA,Presumed drowning,"Bodies retrieved in Al Khums, Libya","32.679837405805, 14.299608421484",NA
Mediterranean,"October 22, 2017",2017,1,NA,1,NA,Drowning,"Off the coast of Melilla, Spain, near Beni Ensar","35.282888789154, -2.913308348535","http://bit.ly/2yGH6GS, http://bit.ly/2xgGUeF"
Caribbean,"October 22, 2017",2017,1,NA,1,NA,Unknown,"Beach near Barrio Ensenada, Rincón, Puerto Rico","18.340314341796, -67.258700630225","http://bit.ly/2yJ7tdK, http://bit.ly/2z3RWIE"
Central America,"October 22, 2017",2017,1,NA,1,NA,Hit by train,Unspecified location in Mexico,"26.185058635351, -102.684619937500",http://bit.ly/2z4kj9t
North Africa,"October 22, 2017",2017,2,NA,2,NA,Excessive Physical Abuse,"Ajdabiya, Libya","20.140259400000, 30.214647000000",NA
North Africa,"October 22, 2017",2017,2,1,1,NA,Starvation,"Al Sharif, Libya","13.685997000000, 32.737298700000",NA
Sub-Saharan Africa,"October 22, 2017",2017,3,NA,3,NA,Dehydration,"Gao, Mali","-0.027986700000, 16.263980700000",NA
Sub-Saharan Africa,"October 22, 2017",2017,2,NA,2,NA,Dehydration,"Gao, Mali","-0.027986700000, 16.263980700000",NA
Sub-Saharan Africa,"October 22, 2017",2017,1,NA,1,1,Sickness and lack of access to medicines,"Kano, Nigeria","8.591956100000, 12.002179400000",NA
North Africa,"October 22, 2017",2017,6,NA,6,NA,Vehicle Accident,"Unspecified location in the Sahara desert, Libya","13.853759770000, 28.464013180000",NA
Mediterranean,"October 22, 2017",2017,1,NA,1,NA,Drowning,"Off the coast of Melilla, Spain, near Beni Ensar","35.286041628488, -2.901978697656","http://bit.ly/2yGH6GS,, http://bit.ly/2xgGUeF"
North Africa,"October 21, 2017",2017,6,NA,NA,NA,Vehicle Accident,"Motorway between Asilah and Tanger, near Akouas Briech, Morocco","35.514650438339, -5.988293378516","http://bit.ly/2xzHO5U, http://bit.ly/2yWcFO2"
Sub-Saharan Africa,"October 21, 2017",2017,3,NA,3,NA,"Shot, Stabbed","Agadez, Niger","7.986535000000, 16.974168900000",NA
Sub-Saharan Africa,"October 21, 2017",2017,2,2,NA,NA,Starvation,"Agadez, Niger","7.986535000000, 16.974168900000",NA
Horn of Africa,"October 21, 2017",2017,1,NA,1,NA,Dehydration,"Eritrea, near the border with Sudan","36.506691600000, 15.139950330000",NA
North Africa,"October 21, 2017",2017,1,NA,1,NA,Excessive Physical Abuse,"Kufra, Libya","21.856858600000, 23.311238900000",NA
Sub-Saharan Africa,"October 21, 2017",2017,1,NA,1,1,Sickness and lack of access to medicines,"Ougadougou, Burkina Faso","-1.519660300000, 12.371427700000",NA
North Africa,"October 21, 2017",2017,1,NA,1,NA,Sickness and lack of access to medicines,"Sahara desert, near Egypt-Libya border","24.916992190000, 29.430328420000",NA
US-Mexico Border,"October 20, 2017",2017,1,NA,1,NA,Drowning,"Río Bravo, near Kickapoo Casino, Eagle Pass, Maverick County, Texas","28.608024008241, -100.444028174620",http://bit.ly/2xYUPdm
US-Mexico Border,"October 20, 2017",2017,1,NA,1,NA,Unknown (skeletal remains),"Pima County, Arizona, USA","31.836883100000, -111.322463400000",http://www.humaneborders.info/
US-Mexico Border,"October 20, 2017",2017,1,NA,1,NA,Unknown (skeletal remains),"Pima County, Arizona, USA","31.967683100000, -113.013308300000",http://www.humaneborders.info/
North Africa,"October 20, 2017",2017,1,NA,1,NA,Excessive Physical Abuse,"Bani Walid, Libya","14.053676000000, 31.797583100000",NA
North Africa,"October 20, 2017",2017,3,NA,3,NA,"Starvation, Dehydration",Egypt-Libya border,"24.981536870000, 30.664494070000",NA
North Africa,"October 20, 2017",2017,2,NA,2,NA,Harsh weather/lack of adequate shelter,"Kufra, Libya","21.856858600000, 23.311238900000",NA
Sub-Saharan Africa,"October 20, 2017",2017,5,NA,NA,NA,Vehicle Accident,"Unspecified location in the Sahara desert, Niger","12.875976560000, 21.678486370000",NA
Mediterranean,"October 19, 2017",2017,1,NA,1,NA,Presumed drowning,"Body retrieved in Al Maya, west of Tripoli, Libya","32.826545914138, 12.898626708984",NA
US-Mexico Border,"October 19, 2017",2017,1,NA,1,NA,Hyperthermia,"Pima County, Arizona, USA","31.482611200000, -111.445179800000",http://www.humaneborders.info/
Sub-Saharan Africa,"October 19, 2017",2017,2,1,1,2,"Vehicle Accident, Harsh weather/lack of adequate shelter","Malanville, Benin, near border with Niger","3.384247300000, 11.863333200000",NA
North Africa,"October 19, 2017",2017,1,1,NA,NA,Vehicle Accident,"Unspecified location in the Sahara desert, Libya","14.238281250000, 24.557428430000",NA
North Africa,"October 19, 2017",2017,3,NA,3,NA,Unknown,"Unspecified location in the Sahara desert, Sudan","27.487792970000, 17.529148060000",NA
Central America,"October 18, 2017",2017,1,NA,1,NA,Fall from train,"Train tracks between Calle Cristobal Colón and 20 de Noviembre, Coatzacoalcos, Veracruz, Mexico","18.126359983090, -94.470228552818",http://bit.ly/2kZzvyB
Sub-Saharan Africa,"October 18, 2017",2017,6,NA,NA,NA,Vehicle Accident,"Dao, Niger","13.533333000000, 20.566667000000",NA
North Africa,"October 18, 2017",2017,3,NA,NA,NA,"Dehydration, Harsh weather/lack of adequate shelter","Unspecified location in the Sahara desert, Egypt","25.312500000000, 28.623404920000",NA
North Africa,"October 17, 2017",2017,1,NA,1,NA,Sickness and lack of access to medicines,"Sahara desert, Sudan, near the border with Libya","25.114746090000, 20.828330650000",NA
Southeast Asia,"October 16, 2017",2017,41,5,1,6,Drowning,"Naf River, near Shah Porir Dwip, Bangladesh","20.762367521413, 92.350844010742","http://bit.ly/2kS9ocH, http://bit.ly/2ztSLr8, https://twitter.com/IOMBangladesh/status/919911895926063105"
Mediterranean,"October 16, 2017",2017,1,NA,NA,NA,Presumed drowning,Off the coast of Tunisia,"34.594243427134, 10.653553136719",NA
Europe,"October 16, 2017",2017,1,NA,1,NA,Vehicle Accident,"N-II motorway, near La Jonquera, Girona, Spain, at the border with France","42.418132400000, 2.873921900000","http://bit.ly/2zSM4lu, http://bit.ly/2iy4yh5"
North Africa,"October 16, 2017",2017,6,NA,NA,NA,"Starvation, Dehydration","Sabha, Libya","14.429023600000, 27.036540600000",NA
North Africa,"October 16, 2017",2017,2,2,NA,NA,Vehicle Accident,"Unspecified location in the Sahara desert, Libya","12.919921880000, 24.537441720000",NA
Mediterranean,"October 15, 2017",2017,1,NA,NA,NA,Presumed drowning,"Off the coast of Sidi Hmed beach, Sfax, Tunisia","34.277715802156, 12.123413085938",NA
Caribbean,"October 15, 2017",2017,37,NA,NA,NA,Presumed drowning,"Near La Tortue Island, Haiti","20.183817495247, -72.641399188282","http://bit.ly/2kXAX4n, http://bit.ly/2zvI87f, http://bit.ly/2yknQ2D, http://bit.ly/2xIpdE1"
Middle East,"October 15, 2017",2017,2,NA,2,NA,Shot,"Syrian/Turkish border, Al-Dorriyeh, near Darkoush, Jisr al-Shughur district, Idlib province","36.003232158569, 36.369436184473",http://www.syriahr.com/en/?p=76290
Sub-Saharan Africa,"October 15, 2017",2017,2,NA,2,1,"Starvation, Dehydration","Gao, Mali","-0.027986700000, 16.263980700000",NA
Sub-Saharan Africa,"October 15, 2017",2017,7,NA,NA,NA,"Dehydration, Harsh weather/lack of adequate shelter","Outside Séguédine, Niger","12.611181640000, 20.319033320000",NA
Sub-Saharan Africa,"October 15, 2017",2017,15,NA,NA,NA,Vehicle Accident,"Séguédine, Niger","12.583000000000, 20.113100000000",NA
Sub-Saharan Africa,"October 14, 2017",2017,1,NA,1,1,Sickness and lack of access to medicines,"Agadez, Niger","7.986535000000, 16.974168900000",NA
Sub-Saharan Africa,"October 14, 2017",2017,1,NA,1,NA,Harsh weather/lack of adequate shelter,"Diffa, Niger","12.615880300000, 13.313247200000",NA
North Africa,"October 14, 2017",2017,3,NA,3,NA,"Starvation, Dehydration",Egypt-Libya border,"24.981536870000, 30.664494070000",NA
Mediterranean,"October 13, 2017",2017,28,NA,NA,NA,Presumed drowning,"Bodies retrieved in Al Khums, Libya","32.657872602092, 14.283128929297",NA
Sub-Saharan Africa,"October 13, 2017",2017,1,1,NA,NA,Vehicle Accident,"Unspecified location in the Sahara desert, Niger","12.260742190000, 22.452283420000",NA
Sub-Saharan Africa,"October 13, 2017",2017,1,1,NA,NA,Vehicle Accident,"Séguédine, Niger","12.583000000000, 20.113100000000",NA
Middle East,"October 13, 2017",2017,1,NA,1,NA,Vehicle Accident,"Sarwan, Sistan and Baluchestan province, Iran","27.352603300000, 62.344781500000",NA
Middle East,"October 12, 2017",2017,1,NA,1,NA,Shot,"Kerman province, Iran","29.485008900000, 57.643904800000",NA
Middle East,"October 12, 2017",2017,1,NA,1,1,Vehicle Accident,"Sarwan, Sistan and Baluchestan province, Iran","27.352603300000, 62.344781500000",NA
Mediterranean,"October 11, 2017",2017,4,NA,NA,NA,Presumed drowning,"Bodies recovered off the coast of Sfax, Tunisia","34.830052608625, 10.869882881250",NA
US-Mexico Border,"October 11, 2017",2017,1,NA,1,NA,Drowning,"Rio Bravo, El Patinadero, Parque Viveros, Nuevo Laredo, Tamaulipas, Mexico","27.477238680755, -99.480783750757",http://bit.ly/2hCyd7D
Sub-Saharan Africa,"October 10, 2017",2017,1,NA,1,NA,Killed by hippoptamus,"Border of Zimbabwe and South Africa, near Beitbridge, Zimbabwe","-22.225918768020, 29.993859147021",http://bit.ly/2z4R8PD
Sub-Saharan Africa,"October 10, 2017",2017,1,NA,1,1,Dehydration,Unspecified location in Chad,"18.732207000000, 15.454166000000",NA
Sub-Saharan Africa,"October 09, 2017",2017,11,NA,NA,NA,Vehicle Accident,"Tsangano, Tete province, Mozambique, at the border with Malawi","-15.366579791470, 34.449139427344",http://bit.ly/2itCC0L
Southeast Asia,"October 08, 2017",2017,31,7,8,11,Drowning,"Naf River, near Golar Para Char, Bangladesh","20.774733035647, 92.345774132324",http://bit.ly/2y9SRW3
Central America,"October 08, 2017",2017,1,NA,1,NA,Train Accident,"Train tracks, Bulevar Vito Alessio Robles, Saltillo, Coahuila, Mexico","25.454966059163, -100.999726805530",http://bit.ly/2g45ufg
Mediterranean,"October 08, 2017",2017,49,NA,8,NA,Drowning,"54 km off El Ataya beach in Kerkennah Island, Tunisia","34.757813062277, 11.747713028906",http://bit.ly/2z1cmho
Europe,"October 08, 2017",2017,1,NA,NA,NA,Hit by train,"Outside Gemünden am Main, Bavaria, Germany","50.050562769818, 9.699000771906",http://bit.ly/2ybuhoN
US-Mexico Border,"October 08, 2017",2017,1,NA,1,NA,Drowning,"Río Bravo, near Rancho El Progreso, Nuevo Laredo, Tamaulipas, Mexico","27.508614972759, -99.526001424365",http://bit.ly/2g7JRe3
US-Mexico Border,"October 08, 2017",2017,1,NA,1,NA,Hit by train,"Train tracks between Uvalde and Hondo, Uvalde County, Texas, USA","29.250130481958, -99.748059074316",http://bit.ly/2y7B1Uo
Sub-Saharan Africa,"October 08, 2017",2017,1,NA,1,NA,Unknown,"Bamako, Mali","-8.002889200000, 12.639231600000",NA
North Africa,"October 08, 2017",2017,1,NA,1,NA,"Shot, Stabbed","Unspecified location in the Sahara desert, Libya","15.578613280000, 25.215191680000",NA
US-Mexico Border,"October 07, 2017",2017,1,NA,1,NA,Unknown (skeletal remains),"Pima County, Arizona, USA","32.163190400000, -112.998958600000",http://www.humaneborders.info/
Sub-Saharan Africa,"October 07, 2017",2017,3,1,1,1,Vehicle Accident,"Malanville, Benin, near border with Niger","3.384247300000, 11.863333200000",NA
North Africa,"October 07, 2017",2017,2,2,NA,NA,Unknown,"Unspecified location in the Sahara desert, Libya","14.062500000000, 25.195311080000",NA
Middle East,"October 05, 2017",2017,1,NA,1,NA,Vehicle Accident,"Sarwan, Sistan and Baluchestan province, Iran","27.352603300000, 62.344781500000",NA
Middle East,"October 05, 2017",2017,1,NA,1,NA,Vehicle Accident,"Serjan, Kerman province, Iran","29.458667600000, 55.671405100000",NA
Central America,"October 04, 2017",2017,1,NA,1,NA,Train Accident,"Train tracks between Calle Felipe Berriozábal and Calle Ramos Arizpe, Saltillo, Coahuila, Mexico","25.413053000000, -101.024833400000","http://bit.ly/2wyrqly, http://bit.ly/2xTcO4j"
US-Mexico Border,"October 04, 2017",2017,1,1,NA,NA,Unknown,"Inside tractor trailer at Falfurrias Checkpoint on U.S. 281, Brooks Country, Texas, USA","27.205072600000, -98.156500900000","http://bit.ly/2y5nxpN, http://bit.ly/2hYgYS4"
Mediterranean,"October 03, 2017",2017,68,NA,NA,NA,Presumed drowning,"Off the coast of Tripoli, Libya","33.435577757609, 13.213310956250",NA
US-Mexico Border,"October 03, 2017",2017,1,NA,1,NA,Unknown (skeletal remains),"Pima County, Arizona, USA","31.827095600000, -111.360700900000",http://humaneborders.info/
Sub-Saharan Africa,"October 03, 2017",2017,3,3,NA,NA,Sickness and lack of access to medicines,"Agadez, Niger","7.986535000000, 16.974168900000",NA
Sub-Saharan Africa,"October 03, 2017",2017,6,6,NA,NA,Sickness and lack of access to medicines,"Desert outside Agadez, Niger","8.294152188000, 17.152714960000",NA
Middle East,"October 02, 2017",2017,1,NA,1,NA,Vehicle Accident,"Iranshahr, Sistan and Baluchestan province, Iran","27.201200000000, 60.686581700000",NA
Middle East,"October 02, 2017",2017,1,NA,1,NA,Vehicle Accident,"Iranshahr, Sistan and Baluchestan province, Iran","27.201200000000, 60.686581700000",NA
Mediterranean,"October 01, 2017",2017,3,NA,2,1,Crushed,"Unspecified location between Sabratha, Libya and Italy","33.175092581861, 12.476987920312",NA
Middle East,"October 01, 2017",2017,1,NA,1,NA,Shot,"Mirjaveh, Sistan and Baluchestan province, Iran","29.016152100000, 61.449384200000",NA
Middle East,"October 01, 2017",2017,1,NA,1,NA,Vehicle Accident,"Kerman province, Iran","29.485008900000, 57.643904800000",NA
Mediterranean,"October 01, 2017",2017,1,NA,NA,NA,Unknown (found on dinghy),Unspecified location between Libya and Italy,"34.399491539041, 13.623046875000",NA
Mediterranean,"October 01, 2017",2017,2,NA,NA,NA,Unknown (found on dinghy),Unspecified location between Libya and Italy,"33.890315995891, 13.117675802205",NA
Sub-Saharan Africa,"October 01, 2017",2017,3,2,1,2,Drowning,"Bodies retrieved in Petite Terre and Longoni, Mayotte, France","-12.724992965047, 45.161448734888","http://bit.ly/2gebEpT, http://bit.ly/2y2SYTR"
US-Mexico Border,"October 01, 2017",2017,1,NA,NA,NA,Unknown (skeletal remains),"Near La Grulla, Starr County, Texas, USA","26.255660044694, -98.663896753564",http://bit.ly/2wC8yCp
Mediterranean,"September 30, 2017",2017,1,NA,1,NA,Drowning,"Off the coast of Zarzis, Tunisia","33.507538772679, 11.156813950781","http://bit.ly/2yzj40O, http://bit.ly/2yTxda8"
North Africa,"September 30, 2017",2017,2,1,1,NA,"Suffocation, Excessive Physical Abuse","Benghazi, Libya","20.086790900000, 32.119424200000",NA
Horn of Africa,"September 30, 2017",2017,1,NA,1,NA,Sickness and lack of access to medicines,"Dhobley, Somalia","41.010032270000, 0.431306712000",NA
North Africa,"September 30, 2017",2017,6,NA,NA,NA,"Starvation, Dehydration, Harsh weather/lack of adequate shelter","Unspecified location in the Sahara desert, Libya","22.741699220000, 29.277115800000",NA
North Africa,"September 30, 2017",2017,1,NA,1,NA,Vehicle Accident,"Unspecified location in the Sahara desert, Libya","14.677734380000, 24.956491290000",NA
Horn of Africa,"September 30, 2017",2017,6,NA,NA,NA,Harsh weather/lack of adequate shelter,"Sahara Desert, between Khartoum, Sudan and Tripoli, Libya","24.597461431330, 21.593518782441",NA
Middle East,"September 30, 2017",2017,6,NA,4,2,Shot,"Syria-Turkey border at al-Dirriyah, Daraa Governorate, Syria","36.001165725027, 36.286329491357",https://bit.ly/2IFZjr8
Middle East,"September 30, 2017",2017,1,NA,1,NA,Vehicle Accident,"Kerman province, Iran","29.485008900000, 57.643904800000",NA
Central America,"September 29, 2017",2017,1,NA,1,NA,Shot,"La Virgen, Rivas, Nicaragua","11.372922350072, -85.757823780287","http://bit.ly/2hGCH0S, http://bit.ly/2hFuFoJ, http://bit.ly/2xKWLTs"
US-Mexico Border,"September 29, 2017",2017,1,NA,NA,NA,Unknown,"44320 W Sevenmile Road, Sullivan City, Hidalgo County, Texas, USA","-98.541955800000, 26.343974500000",NA
Sub-Saharan Africa,"September 29, 2017",2017,2,NA,2,1,"Shot, Stabbed","Bambara Maounde, Mali","-2.785450200000, 15.849390900000",NA
Mediterranean,"September 28, 2017",2017,1,1,NA,1,Unknown,"Hospital in Kastellorizo Island, Greece, after boat capsized off the coast of the island","36.144480100000, 29.586158100000","http://nyti.ms/2k4PLO5, http://www.hcg.gr/node/16113"
Southeast Asia,"September 28, 2017",2017,63,7,1,15,Drowning,"Off the coast of Shamlapur, Ukhiya Upazila, Bangladesh","21.073648581045, 92.129179612598",http://bit.ly/2xCT8lc
North Africa,"September 28, 2017",2017,1,NA,NA,NA,Excessive Physical Abuse,"Bani Walid, Libya","14.053676000000, 31.797583100000",NA
Sub-Saharan Africa,"September 28, 2017",2017,3,1,2,2,"Starvation, Dehydration","Paga, Ghana, near border with Burkina Faso","-1.111321600000, 10.995639800000",NA
North Africa,"September 28, 2017",2017,4,NA,NA,NA,Unknown,"Sahara desert outside Atbara, Sudan","34.101562500000, 17.897809670000",NA
Europe,"September 27, 2017",2017,1,NA,1,NA,Hit by truck,"A28 motorway, near Abbeville, Somme, France","50.131333408968, 1.809367179688",http://bit.ly/2yFDfuS
North Africa,"September 27, 2017",2017,2,1,1,NA,Starvation,"Benghazi, Libya","20.086790900000, 32.119424200000",NA
Sub-Saharan Africa,"September 26, 2017",2017,2,NA,2,NA,"Shot, Stabbed","Agadez, Niger","7.986535000000, 16.974168900000",NA
North Africa,"September 26, 2017",2017,2,NA,2,NA,Vehicle Accident,"Atbara, Sudan","34.008439500000, 17.701452500000",NA
Europe,"September 26, 2017",2017,1,NA,1,NA,Hypoglycemia,"Serbia-Romania border, near Jimbolia","45.788895280257, 20.691360234766","http://bit.ly/2BDqAWr, http://bit.ly/2npS8JT"
